,Frequency,Percent,Valid Percent,Cumulative Percent
Software engineer,2830,27.3,27.3,27.3
Software developer,1369,13.2,13.2,40.5
Web developer,798,7.7,7.7,48.2
Developer,645,6.2,6.2,54.4
Consultant,312,3.0,3.0,57.4
Android developer,288,2.8,2.8,60.2
iOS developer,254,2.4,2.4,62.6
Programmer,229,2.2,2.2,64.8
(Co-)Founder/Owner/Partner,220,2.1,2.1,66.9
Freelancer/independent developer,164,1.6,1.6,68.5
Full-stack developer,161,1.6,1.6,70.1
.NET developer,160,1.5,1.5,71.6
Researcher,156,1.5,1.5,73.1
Java developer,137,1.3,1.3,74.4
Front-end developer/engineer,135,1.3,1.3,75.7
Programmer analyst,131,1.3,1.3,77.0
PHP developer,117,1.1,1.1,78.1
CTO,108,1.0,1.0,79.2
Teacher(-assistant)/Trainer,108,1.0,1.0,80.2
Software architect,103,1.0,1.0,81.2
Application developer,101,1.0,1.0,82.2
technical lead,94,0.9,0.9,83.1
System analyst,92,0.9,0.9,84.0
Mobile developer,85,0.8,0.8,84.8
Back-end developer,80,0.8,0.8,85.6
contractor,80,0.8,0.8,86.3
Engineer,80,0.8,0.8,87.1
Team lead,79,0.8,0.8,87.9
Systems/network/database administrator,70,0.7,0.7,88.5
System engineer/developer,57,0.5,0.5,89.1
Project manager/lead,54,0.5,0.5,89.6
Full-stack web developer,48,0.5,0.5,90.1
R&D engineer,43,0.4,0.4,90.5
Technical architect,40,0.4,0.4,90.9
ruby developer,39,0.4,0.4,91.2
IT specialist/technician,38,0.4,0.4,91.6
Academic,33,0.3,0.3,91.9
JavaScript developer,33,0.3,0.3,92.3
Tehnical/Managing Director,32,0.3,0.3,92.6
(co)founder & cto/ceo/dev,28,0.3,0.3,92.8
Game developer,28,0.3,0.3,93.1
DevOps engineer,27,0.3,0.3,93.4
CEO,25,0.2,0.2,93.6
development manager,24,0.2,0.2,93.8
Full-stack software engineer,23,0.2,0.2,94.1
Solutions architect,23,0.2,0.2,94.3
Technical analyst,23,0.2,0.2,94.5
mobile software engineer,21,0.2,0.2,94.7
director of engineering,20,0.2,0.2,94.9
Web designer,20,0.2,0.2,95.1
head of development,17,0.2,0.2,95.2
Python developer,17,0.2,0.2,95.4
UI developer,17,0.2,0.2,95.6
Data scientist,16,0.2,0.2,95.7
QA engineer,16,0.2,0.2,95.9
Architect,15,0.1,0.1,96.0
engineering manager,15,0.1,0.1,96.2
IT manager,15,0.1,0.1,96.3
software test engineer,14,0.1,0.1,96.5
product engineer,13,0.1,0.1,96.6
web programmer,13,0.1,0.1,96.7
software design engineer,12,0.1,0.1,96.8
staff engineer,12,0.1,0.1,96.9
VP of engineering,12,0.1,0.1,97.1
webmaster,12,0.1,0.1,97.2
Front-end web developer,11,0.1,0.1,97.3
Analyst,10,0.1,0.1,97.4
C#/C++/SharePoint developer,10,0.1,0.1,97.5
data analyst,10,0.1,0.1,97.6
software designer,10,0.1,0.1,97.7
solution developer,10,0.1,0.1,97.8
Wordpress/drupal developer,10,0.1,0.1,97.9
application engineer,9,0.1,0.1,97.9
System architect,9,0.1,0.1,98.0
web engineer,9,0.1,0.1,98.1
Application architect,8,0.1,0.1,98.2
chief architect,8,0.1,0.1,98.3
mobile developer,8,0.1,0.1,98.3
network engineer,8,0.1,0.1,98.4
program manager,8,0.1,0.1,98.5
software specialist,8,0.1,0.1,98.6
Website developer,8,0.1,0.1,98.7
Data engineer,7,0.1,0.1,98.7
development engineer,7,0.1,0.1,98.8
President,7,0.1,0.1,98.9
project engineer,7,0.1,0.1,98.9
Site reliability engineer,7,0.1,0.1,99.0
support engineer,7,0.1,0.1,99.1
System engineer,7,0.1,0.1,99.1
database developer,6,0.1,0.1,99.2
Embedded software engineer,6,0.1,0.1,99.2
product manager,6,0.1,0.1,99.3
Software development engineer in test,6,0.1,0.1,99.4
business analyst,5,0.0,0.0,99.4
computer scientist,5,0.0,0.0,99.5
Front-end developer,5,0.0,0.0,99.5
graphic designer,5,0.0,0.0,99.5
interactive developer,5,0.0,0.0,99.6
Software engineering manager,5,0.0,0.0,99.6
entrepreneur,4,0.0,0.0,99.7
head of engineering,4,0.0,0.0,99.7
Manager,4,0.0,0.0,99.8
technical assistant,4,0.0,0.0,99.8
technical manager,4,0.0,0.0,99.8
Automation engineer,3,0.0,0.0,99.9
computer engineer,3,0.0,0.0,99.9
IT engineer,3,0.0,0.0,99.9
Scala developer,3,0.0,0.0,100.0
Business intelligence developer,2,0.0,0.0,100.0
CIO,2,0.0,0.0,100.0
Multimedia developer,1,0.0,0.0,100.0